row_id,type,edges.1.from,edges.2.from,edges.1.condition,message_text,choices.1,choices.2,save_name
switch.results_Result_,split_by_value,start,,,@results.Result.category,,,
set_run_result.message_options,save_flow_result,switch.results_Result_,,value;Success|variable;@results.Result.category|type;has_only_text|name;Success,@webhook.text,,,message options
set_run_result.message_options.1,save_flow_result,switch.results_Result_,,,fail,,,message options
switch.word_countfield,split_by_value,set_run_result.message_options,set_run_result.message_options.1,,@(word_count(fields.s_modules_compl)),,,
msg.You_havent_rece,send_message,switch.word_countfield,,value;0|variable;@(word_count(fields.s_modules_compl))|type;has_number_eq|name;0,You haven't received any tips yet. ,,,
msg.You_have_receiv,send_message,switch.word_countfield,,value;1|variable;@(word_count(fields.s_modules_compl))|type;has_number_eq|name;1,"You have received the following tip:
@(text_slice(results.message_options,3)).
Would you like to review it?",Yes,No,
switch.input_text,wait_for_response,msg.You_have_receiv,,,,,,
msg.Thats_okay__You,send_message,switch.input_text,,value;No|variable;@input.text|type;has_only_phrase|name;No,That's okay. You can come back here at any time to review it.,,,
set_run_result.selection,save_flow_result,switch.input_text,,value;Yes|variable;@input.text|type;has_only_phrase|name;Yes,@fields.s_modules_compl,,,selection
set_contact_field.accessed_module,save_value,set_run_result.selection,,,@results.selection,,,accessed module
msg.Sorry_I_dont_un,send_message,switch.input_text,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_receiv,go_to,msg.Sorry_I_dont_un,,,msg.You_have_receiv|,,,
msg.You_have_comple,send_message,switch.word_countfield,,value;2|variable;@(word_count(fields.s_modules_compl))|type;has_number_gte|name;2,"You have completed @fields.n_s_modules_compl out of @fields.n_s_modules tips. Which of the following tips would you like to review?
@results.message_options
@(word_count(fields.s_modules_compl) +1). Return to Main Menu",,,
switch.selection,wait_for_response,msg.You_have_comple,,,,,,selection
switch.results_selecti,split_by_value,switch.selection,,value;1|variable;@input.text|type;has_number_eq|name;1,@results.selection,,,
set_run_result.selection.1,save_flow_result,switch.results_selecti,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.1,save_value,set_run_result.selection.1,,,@results.selection,,,accessed module
set_run_result.selection.2,save_flow_result,switch.results_selecti,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.1,send_message,switch.results_selecti,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple,go_to,msg.Sorry_I_dont_un.1,,,msg.You_have_comple|,,,
switch.results_selecti.1,split_by_value,switch.selection,,value;2|variable;@input.text|type;has_number_eq|name;2,@results.selection,,,
set_run_result.selection.3,save_flow_result,switch.results_selecti.1,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.2,save_value,set_run_result.selection.3,,,@results.selection,,,accessed module
set_run_result.selection.4,save_flow_result,switch.results_selecti.1,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.2,send_message,switch.results_selecti.1,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.1,go_to,msg.Sorry_I_dont_un.2,,,msg.You_have_comple|,,,
switch.results_selecti.2,split_by_value,switch.selection,,value;3|variable;@input.text|type;has_number_eq|name;3,@results.selection,,,
set_run_result.selection.5,save_flow_result,switch.results_selecti.2,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.3,save_value,set_run_result.selection.5,,,@results.selection,,,accessed module
set_run_result.selection.6,save_flow_result,switch.results_selecti.2,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.3,send_message,switch.results_selecti.2,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.2,go_to,msg.Sorry_I_dont_un.3,,,msg.You_have_comple|,,,
switch.results_selecti.3,split_by_value,switch.selection,,value;4|variable;@input.text|type;has_number_eq|name;4,@results.selection,,,
set_run_result.selection.7,save_flow_result,switch.results_selecti.3,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.4,save_value,set_run_result.selection.7,,,@results.selection,,,accessed module
set_run_result.selection.8,save_flow_result,switch.results_selecti.3,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.4,send_message,switch.results_selecti.3,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.3,go_to,msg.Sorry_I_dont_un.4,,,msg.You_have_comple|,,,
switch.results_selecti.4,split_by_value,switch.selection,,value;5|variable;@input.text|type;has_number_eq|name;5,@results.selection,,,
set_run_result.selection.9,save_flow_result,switch.results_selecti.4,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.5,save_value,set_run_result.selection.9,,,@results.selection,,,accessed module
set_run_result.selection.10,save_flow_result,switch.results_selecti.4,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.5,send_message,switch.results_selecti.4,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.4,go_to,msg.Sorry_I_dont_un.5,,,msg.You_have_comple|,,,
switch.results_selecti.5,split_by_value,switch.selection,,value;6|variable;@input.text|type;has_number_eq|name;6,@results.selection,,,
set_run_result.selection.11,save_flow_result,switch.results_selecti.5,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.6,save_value,set_run_result.selection.11,,,@results.selection,,,accessed module
set_run_result.selection.12,save_flow_result,switch.results_selecti.5,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.6,send_message,switch.results_selecti.5,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.5,go_to,msg.Sorry_I_dont_un.6,,,msg.You_have_comple|,,,
switch.results_selecti.6,split_by_value,switch.selection,,value;7|variable;@input.text|type;has_number_eq|name;7,@results.selection,,,
set_run_result.selection.13,save_flow_result,switch.results_selecti.6,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.7,save_value,set_run_result.selection.13,,,@results.selection,,,accessed module
set_run_result.selection.14,save_flow_result,switch.results_selecti.6,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.7,send_message,switch.results_selecti.6,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.6,go_to,msg.Sorry_I_dont_un.7,,,msg.You_have_comple|,,,
switch.results_selecti.7,split_by_value,switch.selection,,value;8|variable;@input.text|type;has_number_eq|name;8,@results.selection,,,
set_run_result.selection.15,save_flow_result,switch.results_selecti.7,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.8,save_value,set_run_result.selection.15,,,@results.selection,,,accessed module
set_run_result.selection.16,save_flow_result,switch.results_selecti.7,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.8,send_message,switch.results_selecti.7,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.7,go_to,msg.Sorry_I_dont_un.8,,,msg.You_have_comple|,,,
switch.results_selecti.8,split_by_value,switch.selection,,value;9|variable;@input.text|type;has_number_eq|name;9,@results.selection,,,
set_run_result.selection.17,save_flow_result,switch.results_selecti.8,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.9,save_value,set_run_result.selection.17,,,@results.selection,,,accessed module
set_run_result.selection.18,save_flow_result,switch.results_selecti.8,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.9,send_message,switch.results_selecti.8,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.8,go_to,msg.Sorry_I_dont_un.9,,,msg.You_have_comple|,,,
switch.results_selecti.9,split_by_value,switch.selection,,value;10|variable;@input.text|type;has_number_eq|name;10,@results.selection,,,
set_run_result.selection.19,save_flow_result,switch.results_selecti.9,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.10,save_value,set_run_result.selection.19,,,@results.selection,,,accessed module
set_run_result.selection.20,save_flow_result,switch.results_selecti.9,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.10,send_message,switch.results_selecti.9,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.9,go_to,msg.Sorry_I_dont_un.10,,,msg.You_have_comple|,,,
switch.results_selecti.10,split_by_value,switch.selection,,value;11|variable;@input.text|type;has_number_eq|name;11,@results.selection,,,
set_run_result.selection.21,save_flow_result,switch.results_selecti.10,,value;@(word_count(fields.s_modules_compl))|variable;@results.selection|type;has_number_lte|name;in range,@(split(fields.s_modules_compl)[number(results.selection)-1]),,,selection
set_contact_field.accessed_module.11,save_value,set_run_result.selection.21,,,@results.selection,,,accessed module
set_run_result.selection.22,save_flow_result,switch.results_selecti.10,,value;@(word_count(fields.s_modules_compl)+1)|variable;@results.selection|type;has_number_eq|name;extra,extra,,,selection
msg.Sorry_I_dont_un.11,send_message,switch.results_selecti.10,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.10,go_to,msg.Sorry_I_dont_un.11,,,msg.You_have_comple|,,,
msg.Sorry_I_dont_un.12,send_message,switch.selection,,,"Sorry, I don't understand what you mean.",,,
goto.msg.You_have_comple.11,go_to,msg.Sorry_I_dont_un.12,,,msg.You_have_comple|,,,
